Listing...
dsniff/kali-rolling 2.5a2-1 arm64 [upgradable from: 2.4b1+debian-34]
easy-rsa/kali-rolling 3.2.4-1 all [upgradable from: 3.2.3-1]
eject/kali-rolling 2.41.2-4 arm64 [upgradable from: 2.41.1-1]
ettercap-common/kali-rolling 1:0.8.3.1-15+b1 arm64 [upgradable from: 1:0.8.3.1-14]
ettercap-graphical/kali-rolling 1:0.8.3.1-15+b1 arm64 [upgradable from: 1:0.8.3.1-14]
evil-winrm/kali-rolling 3.7-0kali2 all [upgradable from: 3.7-0kali1]
evolution-data-server-common/kali-rolling 3.56.2-4 all [upgradable from: 3.56.2-3]
exfatprogs/kali-rolling 1.3.0-1 arm64 [upgradable from: 1.2.9-1]
exiv2/kali-rolling 0.28.7+dfsg-2 arm64 [upgradable from: 0.28.5+dfsg-1]
exploitdb/kali-rolling 20251101-0kali1 all [upgradable from: 20250827-0kali1]
faraday/kali-rolling 5.17.0-0kali2 all [upgradable from: 5.16.0-0kali1]
fdisk/kali-rolling 2.41.2-4 arm64 [upgradable from: 2.41.1-1]
firebird4.0-common-doc/kali-rolling 4.0.6.3221.ds6-2 all [upgradable from: 4.0.6.3221.ds6-1]
firebird4.0-common/kali-rolling 4.0.6.3221.ds6-2 all [upgradable from: 4.0.6.3221.ds6-1]
firefox-esr/kali-rolling 140.5.0esr-1 arm64 [upgradable from: 128.14.0esr-1]
firmware-ath9k-htc/kali-rolling 1.4.0-110-ge888634+dfsg1-0.2 all [upgradable from: 1.4.0-110-ge888634+dfsg1-0.1]
firmware-carl9170/kali-rolling 1.9.9-686-ge7ba7bf+dfsg-0.1 all [upgradable from: 1.9.9-450-gad1c721+dfsg-0.1]
flac/kali-rolling 1.5.0+ds-5 arm64 [upgradable from: 1.5.0+ds-2]
fontconfig-config/kali-rolling 2.15.0-2.4 arm64 [upgradable from: 2.15.0-2.3]
fontconfig/kali-rolling 2.15.0-2.4 arm64 [upgradable from: 2.15.0-2.3]
fonts-freefont-ttf/kali-rolling 20211204+svn4273-4 all [upgradable from: 20211204+svn4273-2]
fonts-lyx/kali-rolling 2.4.4-2 all [upgradable from: 2.4.3-1]
fonts-noto-color-emoji/kali-rolling 2.051-1 all [upgradable from: 2.048-1]
fonts-texgyre-math/kali-rolling 20180621-7 all [upgradable from: 20180621-6]
fonts-texgyre/kali-rolling 20180621-7 all [upgradable from: 20180621-6]
freerdp3-x11/kali-rolling 3.18.0+dfsg-1 arm64 [upgradable from: 3.16.0+dfsg-2+kali1]
freetds-common/kali-rolling 1.5.5+ds-1 all [upgradable from: 1.5.4+ds-1]
g++-14-aarch64-linux-gnu/kali-rolling 14.3.0-10 arm64 [upgradable from: 14.3.0-5]
g++-14/kali-rolling 14.3.0-10 arm64 [upgradable from: 14.3.0-5]
g++-aarch64-linux-gnu/kali-rolling 4:15.2.0-4 arm64 [upgradable from: 4:14.2.0-1]
g++/kali-rolling 4:15.2.0-4 arm64 [upgradable from: 4:14.2.0-1]
gcc-14-aarch64-linux-gnu/kali-rolling 14.3.0-10 arm64 [upgradable from: 14.3.0-5]
gcc-14-base/kali-rolling 14.3.0-10 arm64 [upgradable from: 14.3.0-5]
gcc-14/kali-rolling 14.3.0-10 arm64 [upgradable from: 14.3.0-5]
gcc-15-base/kali-rolling 15.2.0-7 arm64 [upgradable from: 15.2.0-1]
gcc-aarch64-linux-gnu/kali-rolling 4:15.2.0-4 arm64 [upgradable from: 4:14.2.0-1]
gcc-mingw-w64-base/kali-rolling 15.2.0-7+28 arm64 [upgradable from: 14.2.0-19+27+b1]
gcc-mingw-w64-i686-win32-runtime/kali-rolling 15.2.0-7+28 arm64 [upgradable from: 14.2.0-19+27+b1]
gcc-mingw-w64-i686-win32/kali-rolling 15.2.0-7+28 arm64 [upgradable from: 14.2.0-19+27+b1]
gcc-mingw-w64-x86-64-win32-runtime/kali-rolling 15.2.0-7+28 arm64 [upgradable from: 14.2.0-19+27+b1]
gcc-mingw-w64-x86-64-win32/kali-rolling 15.2.0-7+28 arm64 [upgradable from: 14.2.0-19+27+b1]
gcc/kali-rolling 4:15.2.0-4 arm64 [upgradable from: 4:14.2.0-1]
gcr4/kali-rolling 4.4.0.1-7 arm64 [upgradable from: 4.4.0.1-6]
gcr/kali-rolling 3.41.2-5 arm64 [upgradable from: 3.41.2-3]
gdal-data/kali-rolling 3.12.0+dfsg-1 all [upgradable from: 3.11.3+dfsg-1]
gdal-plugins/kali-rolling 3.12.0+dfsg-1 arm64 [upgradable from: 3.11.3+dfsg-1]
geoip-database/kali-rolling 20251015-1 all [upgradable from: 20250401-1]
